Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
,Enterprise Software,Virtual-Instruments,"$7,400,000","Jun  1, 2010",,,,"$6,000,000","Aug  7, 2009","$3,800,000","Sep 17, 2009","$21,900,000","Oct 27, 2010","$27,500,000","Sep 26, 2012",Series A
"We provide sales, marketing and retail merchandising solutions to consumer packaged goods companies and retailers in the U.S. and Canada.",High School Students,TrueDemand-Software,,,,,,"$6,000,000","Aug  2, 2005","$8,000,000","Aug 29, 2006","$2,700,000","Feb 27, 2008",,,-
,,eVariant,"$2,600,000","Jun  1, 2012",,"$1,500,000","Feb 27, 2014","$5,300,000","Nov 21, 2011","$18,300,000","May  2, 2014",,,,,
"Recruitment marketplace that connects employers with top headhunters. Find top specialized search firms, engage via online recruitment tool, find best candidates to fill your hard to fill jobs fast!",Curated Web,BountyJobs,"$5,000,000","Sep  7, 2011",,,,"$3,500,000","Jan  1, 2006","$12,000,000","Jul  7, 2008","$4,800,000","Apr 26, 2011","$4,500,000","Oct 21, 2013",Series A
,Software,Sanovi-Technologies,,,,,,,,"$6,100,000","Aug  1, 2006",,,,,Series B
,Enterprise Software,Third-Brigade,,,,,,"$5,000,000","Apr  7, 2005","$11,200,000","Dec  8, 2005",,,,,Series A
,Curated Web,ScanCafe,,,,,,,,"$4,000,000","Aug 13, 2008",,,,,Series B
Catchpoint is the next-generation Internet monitoring solution that increases profits and protects brand integrity by cost-effectively turning performance data into an unprecedented view of the complete user experience.http://pages.catchpoint.com/freetrial.html (screenshots & trial),Mobile Health,Catchpoint-Systems,,,Empowering Quality,"$725,000","Jul  1, 2011","$3,200,000","Mar 12, 2013","$6,000,000","Dec 10, 2013","$16,000,000","Jul 29, 2015",,,Series B
"Tobii creates market leading gaze interaction and eye tracking solutions for computer interaction, integration as well as research and tests.",Hardware + Software,Tobii-Technology,,,,,,"$14,000,000","Mar 26, 2007",Unknown,"May 19, 2009","$21,000,000","Mar 15, 2012","$15,000,000","Aug 14, 2014",Series D
,Insurance,The-Feedroom,"$12,000,000","Jul  9, 2008",,,,,,"$30,000,000","Aug 22, 2000","$5,000,000","Sep 15, 2002","$5,000,000","Apr 27, 2004",-
,Labor Optimization,Orbotix,"$996,700","Jul 14, 2014",Upgrade Your Play,"$12,000","May 10, 2010","$1,000,000","Sep 13, 2010","$5,000,000","Apr  7, 2011","$5,000,000","May 25, 2012","$20,000,000","May  5, 2014",Series C
,Health and Wellness,Aspire-Health,"$1,000,000","Aug  7, 2013",,,,,,"$5,500,000","Jul  1, 2014",,,,,-
,-,Exclaim-Technologies,,,,,,,,"$3,500,000","May  1, 2006",,,,,Series B
,,Bump-Technologies,,,,Unknown,"Jun  1, 2009","$3,400,000","Oct 24, 2009","$16,500,000","Jan 10, 2011",,,,,
,Information Services,Viewfinity,"$1,500,000","Oct  1, 2013",,,,,,"$9,000,000","Feb 16, 2010","$8,500,000","Sep  4, 2012",,,Series C
,Network Security,Danotek-Motion-Technologies,"$13,200,000","Dec 14, 2009",,,,,,"$15,000,000","Aug 30, 2011",,,,,Series A
"Founded in July 2013, SOLS is a leader in the 3D printing space and the pioneer of custom mass-manufacturing. Our first product – SOLS – brings 3D printing to footwear through dynamic orthotics engineered to change the way the world walks. The product is made possible by the SOLS app - advanced technology which creates a sophisticated map of one’s foot through digital imaging, and translates it into a custom, dynamic insole. The insoles are made in the USA, printed on one of the world’s most advanced3D printers, and delivered to the consumer in less than one week. They are designed to fit into any pair of flats, and provide comfort without… · More sacrificing style. They are recognized, by today’s leading podiatrists, as an innovative solution to treat foot pain.SOLS empowers individuals to live their lives, pain free and is headquartered in NYC.",Retail Technology,SOLS-Systems,,,"Step Into the Future, Step Into SOLS","$1,753,219","Dec 19, 2013","$6,400,000","Apr 28, 2014","$11,100,000","Dec  1, 2014",,,,,Series D
"Invoca is call marketing automation. Drive, track and automate inbound calls for better leads, greater marketing insight, and more customers.",,RingRevenue,"$3,250,000","Nov 21, 2012",,,,"$3,500,000","Jun  2, 2009","$4,000,000","Nov 30, 2010","$20,000,000","Jan 13, 2014",,,
Totally free adult dating and swingers site. Members enjoy sex dating and adult sex with no strings attached. Swingers meet for free on this free adult dating site. We are the biggest 100% free adult personals site on the net. Free sex chat with members and enjoy our forums which are packed with erotic stories and adult sex chat.,Social Media,AdultSpace,,,,,,"$1,000,000","Jan  1, 2007","$1,300,000","Mar 10, 2009",,,,,Series A
Free screen sharing software and remote access solutions. Get affordable Technical Support &amp; Computer Help with money back guarantee.,Curated Web,CrossLoop,,,,,,"$3,000,000","Dec  1, 2007","$6,000,000","Sep 15, 2008","$1,500,000","Jan  6, 2011",,,Series C
,Software,Interactive-Advisory-Software,"$4,700,000","Jul 13, 2010",,,,,,"$5,000,000","Jun 30, 2011",,,,,-
"Skyroam is a fast-growing venture-funded technology service provider with offices in San Francisco, Shenzhen and Beijing. Skyroam has identified a common point of pain among fellow business travelers: getting a fast, secure, reliable mobile internet connection while on the road is a challenge. To help travelers stay connected while overseas, Skyroam developed and patented its virtual SIM (vSIM) technology that delivers a local wireless data connection from carriers around the world, on demand. Skyroam’s global hotspot, embedded with a vSIM, enables secure, cost-effective global internet service with unlimited mobile data in over 45 countries. Skyroam’s vSIM technology also… · More provides managed global mobile data access to IoT, M2M and wearables applications.",Biotechnology,Skyroam,,,Solving international data roaming,,,,,"$23,500,000","Jul 15, 2015",,,,,Series A
"Automate compliance and configuration management across your virtual, physical and cloud environments with VMware vCenter Configuration Manager.",Finance,FastScaleTechnology,,,,,,"$6,500,000","Mar 28, 2007","$5,500,000","Apr 14, 2009",,,,,Series A
,Hardware + Software,SoftSwitching-Technologies,"$2,000,000","Sep 10, 2008",,,,,,,,"$17,000,000","Mar 20, 2002",,,Series C
,Clean Technology,Imergy-Power-Systems,,,,,,,,"$15,000,000","Jan  7, 2008",,,,,Series B
,Crowdsourcing,Root-Metrics,"$1,000,000","Jul 13, 2011",,,,,,"$3,300,000","Nov 25, 2009",,,,,-
,-,Vriti-Infocom,,,,,,"$2,500,000","Jun  3, 2008","$5,000,000","Aug 25, 2010",,,,,Series B
,Enterprise Software,Recommind,,,,,,Unknown,"Oct  7, 2008",,,"$15,000,000","Sep 17, 2013",,,Series C
"BandPage is the distributed marketplace that more than 500,000 musicians use to engage and sell to hundreds of millions of fans across the largest music services in the world. As the music landscape is changing fans have moved from engaging and spending time with their favorite bands on their website and Facebook to the major streaming services, video platforms, ticketing and lyric sites. BandPage powers musicians’ content and stores across Spotify, iHeartRadio, Shazam, Google, VEVO, Live Nation, Xbox Music, Rhapsody, LyricFind, Rdio, StubHub and more. On average, there is 10x more fan traffic on those platforms than the artist website.  BandPage is the infrastructure and… · More marketplace that enables musicians to access these platforms and sell their products to their fans in a highly targeted way. BandPage is the only way for musicians to get the things they have for sale such as merchandise, VIP's and more to be displayed to their fans in these places. Watch the video at www.bandpage.com",Virtualization,BandPage,,,Helping musicians everywhere reach and monetize their fans through technology,Unknown,"Jul  1, 2010","$2,300,000","Jan  5, 2011","$16,000,000","Aug 31, 2011","$9,250,000","Mar 30, 2014",,,Series C
LightSpeed POS software is the best retail point of sale system. Try LightSpeed POS free for 14 days.,Telecommunications,Lightspeed-Retail,,,,,,"$30,000,000","Jun 12, 2012","$35,000,000","Sep 17, 2014",,,,,IPO
"At Fundera, we are working to build the industry's most trustworthy, transparent, and pro-small business owner marketplace that always puts the customer first. We build software and support small business owners with exceptional customer service that is quickly replacing offline loan brokers, and revolutionizing the way small business owners access credit. Small business credit is one of the few industries where the internet has had close to no impact when it comes to empowering consumers and providing them the buying power they need to come out on top, and we are bringing that change to the world.",Mobile Advertising,Fundera,,,Fundera is an online marketplace for small business credit.,,,"$3,400,000","Feb  5, 2014","$11,500,000","Sep 17, 2015",,,,,Series B
,Finance Technology,Crossbow-Technologies,"$1,000,000","Apr  8, 2009",,,,,,,,"$12,000,000","Jun  8, 2005",,,Series A
,Mobile,vucast-media,,,,,,,,"$5,500,000","Feb 17, 2010",,,,,Series B
,,Strava,,,,,,"$3,500,000","Jan 12, 2011","$12,600,000","Jul 27, 2011","$7,250,000","Mar  7, 2013",,,
,Biotechnology,Chase-Pharmaceuticals,,,,,,"$1,200,000","Dec 15, 2010","$21,000,000","May 12, 2014",,,,,-
,,natera,"$54,600,000","May  1, 2013",,,,"$4,000,000","Dec  5, 2008","$6,000,000","Jan  7, 2009","$12,000,000","Nov  1, 2010",,,
,Electronic Health Records,Xamarin,,,,Unknown,"May  1, 2011","$12,000,000","Jul 24, 2012","$16,000,000","Jul 17, 2013","$54,000,000","Aug 21, 2014",,,-
,Health Care,Nok-Nok-Labs,,,,,,"$15,000,000","Feb 12, 2013","$16,500,000","Feb 26, 2014","$16,250,000","Aug 25, 2015",,,-
,Curated Web,Teranode,,,,"$900,000","Oct  2, 2009",,,"$9,500,000","Sep 12, 2005",,,,,-
,-,Miyaobabei,,,,,,,,"$20,000,000","Jul 21, 2014",,,,,Series B
,,Moda-Operandi,"$10,800,000","Jun 23, 2010",,,,,,"$10,000,000","Jun 27, 2011","$36,000,000","Jun  9, 2012","$21,600,000","Dec 27, 2013",
,,ContextWeb,"$10,000,000","Sep 21, 2011",,,,"$3,000,000","Jun  1, 2004","$9,000,000","Jun  1, 2005","$15,500,000","Sep 25, 2006","$26,000,000","Jul 20, 2008",
"Mindjet is the only platform that has the capabilities to drive enterprise innovation at scale. It provides the framework needed to build sustainable, predictable, and repeatable innovation process. Drive engagement that lasts. Choose the best ideas scientifically. And prove the investment you’ve made in innovation is worth every penny.",Document Management,Mindjet,,,Enterprise Innovation Management,,,,,"$15,000,000","May  3, 2005",,,,,Series B
,Network Security,EchoFirst,,,,,,,,"$13,700,000","Sep 28, 2010",,,,,Series A
,Freelancers,ebyline,,,,,,"$1,500,000","Nov  8, 2010","$5,000,000","Oct 12, 2011",,,,,Series A
,Security,Mixpo,,,,,,"$6,500,000","Jan  1, 2006","$4,000,000","Feb  3, 2009",,,,,Series D
,Beauty,Business-Insider,"$12,000,000","Mar  5, 2014",,"$900,000","Jul 16, 2008",,,,,"$2,700,000","May 21, 2009","$3,000,000","Jul 28, 2010",Seed
"AdRoll was named the fastest growing private company by Inc magazine this year. We're the first company to bring real-time advertising to companies of all sizes by building the first self-service, intuitive UI.We're working on ton of interesting projects. We're in the unique position of working with big data and applying machine learning and mining in real-time. We manage 1B requests/day and respond under 25ms.We make heavy use of Python, Backbone.js, Java/Hadoop/HBase, Erlang, and AWS.",,AdRoll,"$15,000,000","Jul 11, 2012",The most effective ad retargeting platform in the world,Unknown,"Mar  1, 2006","$4,000,000","Sep 16, 2008",,,"$70,000,000","Apr 18, 2014",,,
“SCAROSSO stands forhigh quality shoes “handmade in Italy” offeringcustomers the ability to design their own bespokeshoes online.”,Shoes,Scarosso,,,Mass Custimzed Shoes Male/Female,,,Unknown,"May 17, 2013","$11,000,000","Sep  4, 2014",,,,,
,Mobile Advertising,Involver,"$296,500","Apr  8, 2010",Social Marketing Platform (Acquired by Oracle),,,"$1,440,000","Sep  2, 2008","$1,600,000","Sep 22, 2010","$8,000,000","Oct 14, 2010",,,
,Biotechnology,Baifendian,,,,,,"$7,200,000","Jul  1, 2011","$10,000,000","Jul 26, 2013","$25,000,000","Jul 28, 2014",,,Series C
,-,Lucid-Design-Group,"$9,226,433","Jun 12, 2014",,,,"$1,500,000","Jan 21, 2010","$8,200,000","Jun 12, 2014",,,,,Series B
,Biotechnology,AqueSys,"$12,000,000","May 21, 2012",,,,,,,,"$35,000,000","Jun  2, 2010","$43,600,000","Jan 16, 2014",-
"We're working to bring a better way to pay to every consumer (1.5MM so far) and every merchant (5,000 so far). We're building new infrastructures to drive the cost of payment processing down… eventually to zero, so businesses don't have to pay $50BN in card fees each year. We're opening up APIs and SDKs to enable merchants, developers and anybody else to build incredible apps that leverage the information in each transaction.Our vision is big, exciting, challenging and quite possibly impossible. But we're a company filled with smart people (70+ and counting), backed by $50MM from other smart people (Google Ventures, Deutsche-Telekom,… · More founders of Discover Card) and we're on the road to making our vision a reality.LevelUp has built one great application, a utility app that lets you pay with your phone and save at 5000+ merchants. But, there's a lot more that LevelUp can do. Working with our partners, we have released 20+ custom branded payment apps, and we continue to build more.",Marketplaces,LevelUp,"$10,000,000","Sep 26, 2013",Mobile Payment,"$750,000","Apr 13, 2009","$4,000,000","Dec 24, 2009","$15,000,000","Jan  4, 2011","$12,000,000","Jun  7, 2012","$9,000,000","Aug  2, 2012",Series C
Stylistpick - hand picked fashion at the home to must have brands and trends,Security,Stylistpick,,,,,,"$8,000,000","Apr 12, 2011","$11,000,000","Feb  2, 2012",,,,,Series B
,-,Plum-Tv,,,,,,,,"$5,200,000","Sep  1, 2009",,,,,Series B
"Affectiva understands the importance of emotions – in every aspect of our lives. It shapes our experiences, our interactions and our decisions. In an increasingly technology-driven world, emotion is either absent or oversimplified. Our mission is to digitize emotion, so it can enrich our technology, for work, play and life.",Fraud Detection,Affectiva,"$500,000","Jun  1, 2012",Reading facial expressions to measure emotional connection,,,"$2,000,000","Nov 10, 2009","$5,700,000","Jul 19, 2011","$12,000,000","Aug  7, 2012",,,
,Search,Mercent,"$2,200,000","Nov 20, 2010",,,,,,"$6,500,000","Jan 15, 2008",,,,,-
,Enterprise Software,Act-On-Software,"$42,000,000","Apr 15, 2014",,,,,,"$4,000,000","Nov 15, 2010","$10,000,000","Jun  1, 2011","$16,000,000","Sep  5, 2012",-
,Social Network Media,InteKrin,"$2,300,000","Jun 14, 2010",,,,,,,,"$18,500,000","Aug  4, 2008",,,-
,Business Intelligence,SageMetrics,,,,,,,,"$6,000,000","May 12, 2002",,,,,Series B
Detect cyber crime with web session intelligence and real-time behavioral analysis from RSA Silver Tail.,B2B,Silver-Tail-Systems,Unknown,"Sep 22, 2011",,,,"$2,100,000","Sep 26, 2008","$20,000,000","Jun  6, 2011",,,,,Series A
"Raptr is one of the fastest growing online gaming platforms and communities in the world. Get the optimal performance out of your PC, earn real rewards, and connect with others while in-game via Twitch, chat, and more!",Supply Chain Management,Raptr,,,,"$3,000,000","Jun  1, 2007","$9,000,000","Sep  3, 2008","$15,000,000","Feb 10, 2011",,,,,Series A
,,Oversi,"$8,000,000","Jun 12, 2007",,,,,,,,"$4,900,000","Oct 19, 2010",,,
,Biotechnology,CoMentis,,,,,,,,,,"$12,000,000","Dec  3, 2007","$20,000,000","Jun  5, 2008",Series C
,Biotechnology,Lakewood-Amedex,,,,,,,,,,"$5,500,000","Jun 18, 2014",,,Series C
,Hardware + Software,Guardium,,,,,,,,,,"$5,500,000","Aug 12, 2005","$6,300,000","May 17, 2006",Series C
"Learn about B2B lead generation, lead scoring, data cleansing &amp; continuous data quality integrated to Marketo, Eloqua &amp; Salesforce.",Fashion,ReachForce,"$4,600,000","Jan 31, 2011",,,,"$3,200,000","Jun 11, 2007","$5,000,000","Dec  1, 2007",,,,,Series A
,Online Travel,Aylus-Networks,,,The Aylus Platform is a device & network agnostic solution for seamless live mobile video,"$4,000,000","Sep 16, 2010","$10,000,000","Jan  1, 2005","$15,000,000","Jun  4, 2007","$5,700,000","Oct 28, 2009","$16,000,000","Jun 15, 2011",Series C
Numerify is a provider of business analytics applications that harness the power of the cloud delivery model to rapidly provide business insights to decision makers in key functional areas. System-of-record analytics delivered through the Numerify360 cloud-native platform allow organizations to effectively manage their business with numbers they can trust.,Analytics,Numerify,,,,,,"$8,000,000","Oct  2, 2013","$15,000,000","Sep 24, 2014",,,,,Series B
,Biotechnology,SurgiQuest,"$11,000,000","Sep 30, 2012",,,,,,"$14,500,000","Feb 16, 2010","$19,000,000","Jul  8, 2011","$7,500,000","Dec  5, 2012",Series B
"Big data and consumer internet company. As the first comprehensive financial data platform is positioned to play a dual role. Already serving the need of the Nigeria Securities Exchange Commission in generating its margin list, Applied Logic through broadstreetlagos can service other regulatory data needs. On the consumer internet side, 48m internet users in Nigeria dwarf singapores 5m population. Applied Logic would like to see a space for BSL on Yahoo! Finances page right next to Singapore.",Big Data,Applied-Logic,,,Yahoo Finance for Africa,"$257,000","Jun  1, 2008","$296,000","May  1, 2010","$343,566","Jul 27, 2011",,,,,
,Biotechnology,Insightra-Medical,"$6,000,000","May  2, 2014",,,,,,,,Unknown,"Oct 21, 2013",,,Series C
,Customer Service,Centrify,"$42,000,000","May 20, 2014",,,,"$7,000,000","Jul  1, 2004","$14,000,000","Aug  9, 2005","$15,000,000","Apr 18, 2007","$16,000,000","Aug 17, 2011",Closed
,Biotechnology,Cytodyn,"$14,500,000","Oct 24, 2013",,,,,,"$455,000","Oct 19, 2009",,,,,Series B
"Founded in 2010, FunPlus is a mobile social gaming company that puts fun first for players worldwide. Our creative, respectful and hands-on teams are dedicated to making innovative, engaging games. And we’re always looking for highly-talented and ambitious entrepreneurs to join us. Come work at something you already love to do: making life more fun with games. FunPlus has over 200 employees and is headquartered in Beijing, China, with additional offices in Xi’an, China; Vancouver, Canada and San Francisco, California.",Biotechnology,FunPlus,,,FunPlus is a mobile social gaming company that puts fun first for players worldwide.,,,,,"$74,000,000","Mar 18, 2014",,,,,Series A
,Biotechnology,Trellis-Bioscience,"$235,000","Nov  9, 2011",,,,,,"$10,000,000","Feb 14, 2007",,,,,Series B
,Software,iCreate-Software,,,,,,"$3,200,000","Jan 29, 2010","$9,200,000","Dec 12, 2012",,,,,Series A
,SaaS,BVI-Networks,"$1,500,000","Jan  5, 2010",,,,,,"$8,000,000","Aug 10, 2011","$15,000,000","Apr 30, 2013","$30,000,000","Jul  8, 2014",-
,Games,Scoreloop,,,,,,,,"$2,800,000","Aug 18, 2009",,,,,Series B
,Creative,admantx,"$2,400,000","Jul 31, 2014",,,,"$2,800,000","Jun  8, 2011","$1,300,000","Jan 28, 2013",,,,,Series A
,Cloud Data Services,Zadara-Storage,,,,,,"$7,000,000","Jul 16, 2012","$3,000,000","Jul 31, 2013",,,,,Series A
"At Rethink Robotics, we believe that all manufacturers, regardless of size and technology experience, should have an equal opportunity to benefit from production robots. They should be affordable. They should be safe to operate around people. They should be easy to train and work right out of the box. And most of all, they should help U.S. manufacturers increase production while keeping jobs from migrating overseas.We also believe that educational and corporate research teams, who are leading the way in developing tomorrow’s Next Big Thing, should have easy and affordable access to a robotic innovation platform that can help their visions become… · More reality.Rethink Robotics is a new kind of robotics company, and our mission is to bring safer, more affordable, and yes, friendlier robotics technologies to people who have little to no access to them today.Simply put, we are rethinking robotics. And we think you will, too.",SaaS,Rethink-Robotics,,,,,,"$12,000,000","Sep  8, 2009","$20,000,000","Nov 30, 2010","$30,000,000","Jun 19, 2012",,,-
,Health Care,Mendor-Oy,"$8,800,000","Jul  7, 2014",,,,,,"$11,600,000","Jun 21, 2011",,,,,Series C
,Software,WebLayers,"$3,000,000","Jan 14, 2009",,,,,,,,"$7,000,000","Jul 16, 2007",,,Series C
,Physicians,MokaFive,,,,"$5,000,000","May 26, 2009",,,"$15,000,000","Jan  1, 2007","$21,000,000","Apr  2, 2010",,,
,Software,ProviderTrust,,,,,,,,"$1,800,000","Apr  2, 2012",,,,,Series B
,Enterprise Software,Mobius-Microsystems,,,,,,"$10,000,000","Jan 31, 2006","$10,220,000","Dec 10, 2007",,,,,Series A
Glympse is a location technology company that has developed a mobile application that allows individuals to share their whereabouts in real-time.,Web Hosting,Glympse,,,"Real-time, ephemeral location sharing",,,,,"$7,500,000","Jun 22, 2011","$12,000,000","Jun 13, 2014",,,Series B
,Finance Technology,Selexys-Pharmaceuticals,"$5,000,000","Nov  4, 2011",,,,"$23,000,000","Sep 20, 2012","$34,500,000","Oct  3, 2012",,,,,Series A
"Redux is a new kind of TV—hundreds of channels of entertaining, hand-picked video, all from a passionate community of curators. Watch on your TV with a supported device or lean back and watch on your PC or laptop.",Developer APIs,Redux,,,Curated Internet Television,"$1,650,000","Mar  1, 2007","$3,500,000","Apr  7, 2008","$1,000,000","Sep 28, 2010",,,,,Seed
,Semiconductors,TeleCIS-Wireless,,,,,,,,,,"$10,000,000","Jan  1, 2006",,,Series C
"Showpad is a sales acceleration platform to increase the productivity of sales while providing marketing with relevant data on sales interactions. Showpad turns every device – tablet, smartphone and PC – into a powerful sales and presentation tool. The solution makes it possible to provide sales reps with the right information in any format on any device and gives insights and analytics on how a customer responds to the information shared.",Distribution,Showpad,,,The leading Sales Acceleration Platform,,,"$2,000,000","Mar 26, 2013","$8,500,000","Oct 22, 2014",,,,,Series B
,Social Media,Inspire-Medical-Systems,"$40,000,000","May 15, 2014",,,,,,"$17,000,000","Jun 29, 2009",,,,,-
,Biotechnology,Edimer-Pharmaceuticals,,,,,,,,"$18,000,000","Jul 30, 2013",,,,,Series B
Watch Live TV on your favourite device. Record anything from TV and simply watch when you have the time. Create your free OZ account today.,Software,OZ-Communications,,,,,,,,"$34,000,000","Nov 27, 2006",,,,,Series B
We deliver delicious and healthy recipes with all the pre-measured ingredients to your door each week.,,HelloFresh,,,Cook healthy and exciting meals from scratch at home,,,,,"$10,000,000","Dec 12, 2012","$7,500,000","Sep 30, 2013","$50,000,000","Jun 18, 2014",
,Search,World-Golf-Tour,"$1,000,000","Oct  1, 2012",,,,,,"$10,000,000","May  1, 2008","$10,000,000","Mar 17, 2010",,,Series B
,Health Care,COMS-Interactive,"$21,000,000","Jun 18, 2013",,,,,,"$4,900,000","Nov  9, 2011",,,,,-
,Audio,Jangl,,,,,,"$2,000,000","Jan  1, 2005","$7,000,000","Jul  1, 2006",,,,,Series A
,Biotechnology,Esperance-Pharmaceuticals,"$3,700,000","May  3, 2010",,,,,,"$7,500,000","Jun  1, 2011",,,,,-
,Usa,GenomeQuest,"$3,100,000","Dec 16, 2009",,,,"$4,099,999","Nov  1, 2005","$4,000,000","Sep 24, 2007",,,,,
"Invensense is the leader in motion processing, MEMS gyroscope, 			and motion processing technologies for consumer electronics",Messaging,InvenSense,,,,,,"$8,000,000","Jan  1, 2004","$11,000,000","Jan  1, 2007","$19,000,000","Apr 28, 2008",,,Series C
,Hardware + Software,Anulex,"$18,300,000","Jun  7, 2010",,,,,,,,"$20,000,000","Jul 25, 2006","$10,200,000","May 26, 2009",-
,Billing,Tacit-Networks,,,,,,"$7,300,000","Dec  9, 2002",,,"$12,000,000","May  5, 2005",,,Series C
,Web Hosting,Altarock-Energy,,,,,,,,"$26,250,000","Aug  1, 2008",,,,,-
,,Lilliputian-Systems,"$40,000,000","Sep 14, 2012",,,,,,"$11,000,000","Jun 22, 2011",,,,,
,,Loopt,"$7,100,000","Mar 16, 2009",,"$6,000","Jun  1, 2005","$5,000,000","Nov 23, 2005","$12,000,000","Jul 23, 2007","$15,000,000","May  3, 2010",,,
,Biotechnology,Snowball-Finance,,,,,,"$20,000,000","Jun  1, 2011","$10,000,000","Jun  1, 2013","$40,000,000","Sep 12, 2014",,,Series A
"Like most good ideas, it began with a frustration over the status quo. Networks were too complex, too costly and too inefficient.Dave’s eureka moment came when reading Microsoft’s paper on traffic patterns, understanding that network congestion was a result of inefficient conversations taking place within its infrastructure. So, he created an SDN controller to understand and direct these conversations. However, Dave soon realized that the dynamic software could only work with underlying hardware that would also change on the fly. Thus, the Plexxi Switch was born, using photonic switching technologies to bring an adaptable capacity to a previously static environment.",,Plexxi,,,Rethinking the network.,,,"$8,300,000","Feb 15, 2011","$20,000,000","Jul 28, 2011","$20,100,000","Jun 29, 2012",,,
,IaaS,Dachis-Group,,,,,,,,"$30,000,000","Jan  4, 2011","$7,500,000","Mar 20, 2013",,,-
"Spoqa is a social loyalty platform that promises to local merchants 2 things: repeat business from one customer, and additional business from the customer's friends. Whenever you buy at a Spoqa store, you can check in with Spoqa to get store credits, which can be used like cash the next time you visit the store. This is where it gets interesting. Spoqa also rewards your friends for your friends! Likewise, whenever your friends buy, you also get credits.Spoqa makes store loyalty social.",Local Coupons,Spoqa,,,We make buying fun,,,,,"$2,000,000","Aug  5, 2014",,,,,
,Semiconductors,EndPlay,,,,,,,,,,"$21,500,000","Apr 13, 2012",,,
,Hardware + Software,Inform-Technologies,"$330,000","Jul  7, 2011",,,,,,"$10,000,000","Feb 13, 2006","$15,000,000","Jan 24, 2008",,,Series C
"The era of smart data is here. Smart data from eXelate is accurate, actionable, and agile. http://exelate.com/smartdata/",Biotechnology,eXelate,,,,,,"$4,000,000","Oct  1, 2007","$16,000,000","Aug  3, 2010","$12,000,000","Sep 24, 2012",,,Series A
,Semiconductors,Nextreme-Thermal-Solutions,,,,,,"$8,000,000","Mar  4, 2005","$21,400,000","Jul  6, 2009",,,,,-
"SkyHigh Networks develops cloud security software that helps businesses adopt cloud services while ensuring privacy, security, and compliance.SkyHigh allows enterprises to discover cloud services being used by employees, analyze usage patterns to detect potential security threats, and encrypt data stored in the cloud to ensure the safety and security of the cloud.",Real Estate,Skyhigh-Networks,,,,,,"$6,500,000","Apr  9, 2012","$20,000,000","May 22, 2013","$40,000,000","Jun 23, 2014",,,
,-,Rouxbe,,,,"$300,000","Jan 28, 2006","$1,000,000","Jan 28, 2008","$2,100,000","Jan  1, 2009",,,,,Series B
"Content Cloud gives you access to a universe of the best owned and earned content. Curate posts, images, videos and news stories from any source like YouTube, Facebook, Twitter, Instagram or PublishThis. Tap into your DAM, WCM or other legacy asset management systems. Search, filter and view all your brand and user generated content in once place.Just like you mix music in Spotify or iTunes, the Content Cloud Playlist is a fun and easy way to mash up and organize your content into front-end experiences. With the ability to create an unlimited number of playlists, it's a smart way to build experiences specific to certain audience segments or even to individual… · More customers.Content Cloud lets you create dynamic, content-driven experiences with templated layouts. Or transform your content playlists into whatever front-end experience you can dream up. From e-commerce to micro-sites, YouTube to mobile feeds, there’s truly no limit to where your content can live and engage customers.",,Thismoment,"$334,900","Jun  8, 2011",Content marketing platform,,,"$7,300,000","Nov 15, 2011",,,"$22,000,000","Jun 13, 2012",,,
"We're building a local, on-demand FedEx, starting with restaurant food delivery. In restaurant delivery, we offer greater selection to consumers in cities across the United States.We hire drivers who use our own logistics software and take the headache of delivery away from the restaurant. This is a logistics company more than a food company. We help small businesses grow, we give underemployed people meaningful work, and we offer affordable convenience to consumers.",,DoorDash,,,On-demand delivery empowering local economies (YC S13),"$2,400,000","Sep 30, 2013","$17,300,000","May 24, 2014","$40,000,000","Mar 26, 2015",,,,,
,Advertising,BridgeWave-Communications,"$2,900,000","Jan  4, 2013",,,,,,"$7,000,000","Dec 14, 2005","$7,800,000","Jul 30, 2007","$10,000,000","Jun 25, 2008",Series D
"Discover amazing stuff, collect the things you love, buy it all in one place.",SaaS,Fancy,"$53,000,000","Jul  8, 2013","Discover amazing stuff, collect the things you love, buy it all in one place. ","$2,000,000","Jun  1, 2009","$6,000,000","May  1, 2010","$10,000,000","Nov  1, 2011","$26,400,000","Oct 29, 2012",,,
"Boomi AtomSphere allows you to connect any combination of Cloud, SaaS, or On-Premise applications with no appliances, no software, and no coding.",Social Business,Boomi,,,,"$900,000","Jan  1, 2002",,,"$4,000,000","Jul  1, 2008",,,,,Series A
"TapInfluence is cloud-based software to automate influencer marketing.  Our software automates the creation, management, and measurement of influencer marketing programs.  Our software integrates seamlessly with our marketplace of 100,000 registered influencers.",Interest Graph,TapInfluence,,,Influencer Marketing Platform,,,"$3,200,000","Mar  8, 2012","$5,000,000","Sep 10, 2013",,,,,Series A
,Analytics,Tervela,,,,,,,,,,"$20,000,000","Jan 14, 2008","$18,000,000","Sep 15, 2009",Series B
,Hardware + Software,Nasuni,,,,,,"$8,000,000","Dec 14, 2009","$15,000,000","Dec 20, 2010","$20,000,000","Oct 30, 2012",,,Series A
,Web Hosting,TensorComm,,,,,,,,,,"$7,000,000","May 31, 2005",,,Series C
